ip,ifName,ifDescr,ifOperStatus,pethPsePortDetectionStatus,Remote Device,Remote Port,Remote Type,lldpRemotes
10.17.1.16,port27,TXK-CAM-22,up,searching,24:a4:3c:9c:25:2f,,Ubiquiti Wifi Bridge,
10.17.1.15,port28,port28(primary),up,searching,28:d2:44:6a:0a:e2,,Computer,
10.17.1.16,port2,port2(primary),up,searching,6c:4b:90:53:11:b2,,Computer,
10.17.1.15,port29,port29(primary),up,searching,6c:4b:90:62:b3:78,,Computer,
10.17.1.15,port18,port18(primary),up,searching,6c:4b:90:63:0e:05,,Computer,
10.17.1.16,port47,port47(primary),up,searching,6c:4b:90:63:1a:4f,,Computer,
10.17.1.16,port21,port21(primary),up,searching,6c:4b:90:8a:5f:3a,,Computer,
10.17.1.15,port21,port21(primary),up,searching,Computer,,Computer,
10.17.1.16,port5,port5(primary),up,searching,Computer,,Computer,
10.17.1.16,port43,port43(primary),up,searching,Computer,,Computer,
10.17.1.15,port51,Phone,up,disabled,CORP-MDF-SW2,port50,Fortiswitch,
10.17.1.16,port42,port42(primary),up,searching,Dumb Switch?,,,"[{""macAddress"":""6c:4b:90:63:12:c5"",""macAddress2"":"""",""ipAddress"":"""",""portID"":"""",""portDescription"":"""",""remName"":"""",""remSysDescription"":""""},{""macAddress"":""8c:16:45:ae:8e:97"",""macAddress2"":"""",""ipAddress"":"""",""portID"":"""",""portDescription"":"""",""remName"":""MJ07FYKX"",""remSysDescription"":""""}]"
10.17.1.15,port5,port5(primary),up,searching,Phone and Computer,,Phone and Computer,
10.17.1.15,port14,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.15,port16,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.15,port23,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.15,port26,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.15,port31,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.15,port32,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.15,port37,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.16,port1,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.16,port31,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
10.17.1.16,port33,Phone,up,deliveringPower,Phone and Computer,,Phone and Computer,
